Timestamp,Device_ID,Device_Type,Parameter_Changed,New_Value,Trigger_Source
2026-01-03 19:16:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-03 19:17:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-03 19:18:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-03 22:38:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-03 22:39:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-03 22:40:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-03 23:08:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-03 23:10:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-03 23:11:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-04 14:25:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-04 14:26:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-04 18:00:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,50,Automation
2026-01-04 19:19:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-04 19:20:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-04 19:21:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3500,Human
2026-01-04 19:22:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-04 22:29:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-04 22:30:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-04 22:44:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Disabled,Human
2026-01-04 22:55:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-04 22:57:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-04 22:58:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-05 06:55:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,23,Human
2026-01-05 06:56:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-05 06:57:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-05 07:21:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,100,Human
2026-01-05 07:59:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-05 08:00:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,40,Human
2026-01-05 08:52:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-05 19:14:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-05 19:15:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human
2026-01-05 19:16:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3500,Human
2026-01-05 19:17:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-05 19:47:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-05 22:31:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,21,Human
2026-01-05 22:32:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-05 22:39:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-05 23:09:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-05 23:11:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-05 23:12:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-06 06:48:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-06 06:49:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-06 06:50:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-06 07:26:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,70,Human
2026-01-06 07:54:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-06 07:55:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,40,Human
2026-01-06 09:00:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-06 19:54:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-06 19:55:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human
2026-01-06 19:56:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-06 19:57:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-06 19:57:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-06 22:32:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-06 22:33:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-06 22:44:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-06 22:52:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-06 22:54:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-06 22:55:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-07 07:11:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,25,Human
2026-01-07 07:12:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-07 07:13:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-07 07:20:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,70,Human
2026-01-07 08:08:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-07 08:09:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,30,Human
2026-01-07 09:02:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-07 19:07:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-07 19:08:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-07 19:09:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-07 19:10:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-07 19:45:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-07 22:30:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,19,Human
2026-01-07 22:31:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-07 22:35:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-07 23:04:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-07 23:06:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-07 23:07:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-08 06:55:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-08 06:56:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-08 06:57:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Low,Human
2026-01-08 07:22:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,90,Human
2026-01-08 07:57:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-08 07:58:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,35,Human
2026-01-08 08:58:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-08 19:05:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-08 19:06:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,75,Human
2026-01-08 19:07:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-08 19:08:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-08 20:09:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-08 22:35:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-08 22:36:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-08 22:50:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-08 22:58:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-08 23:00:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-08 23:01:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-09 06:54:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,23,Human
2026-01-09 06:55:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-09 06:56:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-09 07:20:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,70,Human
2026-01-09 08:00:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-09 08:01:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,30,Human
2026-01-09 09:03:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-09 19:40:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-09 19:41:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-09 19:42:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,2700,Human
2026-01-09 19:43:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-09 20:10:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-09 22:23:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-09 22:24:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-09 22:50:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Disabled,Human
2026-01-09 22:57:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-09 22:59:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-09 23:00:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-10 08:54:00,Hallway_Vacuum_1,Robot Vacuum,Cleaning State,Clean,Human
2026-01-10 08:55:00,Hallway_Vacuum_1,Robot Vacuum,Suction Power,Standard,Human
2026-01-10 14:21:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-10 14:22:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-10 18:00:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,50,Automation
2026-01-10 19:32:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-10 19:33:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-10 19:34:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,2700,Human
2026-01-10 19:35:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-10 22:31:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-10 22:32:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-10 22:40:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-10 22:51:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-10 22:53:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-10 22:54:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-11 12:00:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,26,Automation
2026-01-11 14:34:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,23,Human
2026-01-11 14:35:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-11 19:35:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-11 19:36:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human
2026-01-11 19:37:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-11 19:38:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-11 22:27:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,19,Human
2026-01-11 22:28:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-11 22:42:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-11 22:59:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-11 23:01:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-11 23:02:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-12 07:06:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-12 07:07:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-12 07:08:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-12 07:22:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,80,Human
2026-01-12 08:02:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-12 08:03:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,40,Human
2026-01-12 09:06:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-12 12:00:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,26,Automation
2026-01-12 19:28:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-12 19:29:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-12 19:30:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3500,Human
2026-01-12 19:31:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-12 20:04:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-12 22:37:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-12 22:38:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-12 22:42:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-12 23:12:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-12 23:14:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-12 23:15:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-13 07:10:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-13 07:11:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-13 07:12:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-13 07:27:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,80,Human
2026-01-13 07:56:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-13 07:57:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,30,Human
2026-01-13 08:51:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-13 19:15:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-13 19:16:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,75,Human
2026-01-13 19:17:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-13 19:18:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-13 19:55:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-13 22:26:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,19,Human
2026-01-13 22:27:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-13 22:40:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-13 22:54:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-13 22:56:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-13 22:57:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-14 06:56:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,25,Human
2026-01-14 06:57:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-14 06:58:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Low,Human
2026-01-14 07:23:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,100,Human
2026-01-14 08:08:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-14 08:09:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,40,Human
2026-01-14 09:07:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-14 18:00:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,50,Automation
2026-01-14 19:46:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-14 19:47:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,60,Human
2026-01-14 19:48:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-14 19:49:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-14 19:51:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-14 22:38:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,19,Human
2026-01-14 22:39:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-14 22:49:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-14 22:51:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-14 22:52:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-14 22:54:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-15 07:10:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-15 07:11:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-15 07:12:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human
2026-01-15 07:33:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,100,Human
2026-01-15 07:56:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-15 07:57:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,40,Human
2026-01-15 09:03:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-15 19:20:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-15 19:21:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human
2026-01-15 19:22:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-15 19:23:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-15 20:08:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,10,Human
2026-01-15 22:21:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,19,Human
2026-01-15 22:22:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-15 22:45:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Disabled,Human
2026-01-15 23:14:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-15 23:16:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-15 23:17:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-16 07:11:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-16 07:12:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-16 07:13:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,High,Human
2026-01-16 07:23:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,90,Human
2026-01-16 07:57:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-16 07:58:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,35,Human
2026-01-16 09:04:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-16 19:43:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-16 19:44:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,60,Human
2026-01-16 19:45:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,2700,Human
2026-01-16 19:46:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-16 19:47:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-16 22:29:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,21,Human
2026-01-16 22:30:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-16 22:36:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-16 22:51:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-16 22:53:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-16 22:54:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-17 08:53:00,Hallway_Vacuum_1,Robot Vacuum,Cleaning State,Clean,Human
2026-01-17 08:54:00,Hallway_Vacuum_1,Robot Vacuum,Suction Power,Standard,Human
2026-01-17 12:00:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,26,Automation
2026-01-17 14:14:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-17 14:15:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-17 19:06:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-17 19:07:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-17 19:08:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3500,Human
2026-01-17 19:09:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-17 22:33:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,19,Human
2026-01-17 22:34:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-17 22:46:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-17 22:47:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-17 22:48:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-17 22:49:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-18 12:00:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,26,Automation
2026-01-18 14:22:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,22,Human
